thumbnail,thumbnail_url,thumbnail_alt_tag
"003aab18-59fb-468d-bd4c-ab07c8f8db46.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=003aab18-59fb-468d-bd4c-ab07c8f8db46.jpg","employees in a meeting "
"00f1c3fb-9eee-482c-95cf-71ca0ae01aa8.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=00f1c3fb-9eee-482c-95cf-71ca0ae01aa8.jpg","business people sitting at a table with laptops "
"02a631fa-6cde-4ed8-bb31-c11a7ecc1d59.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=02a631fa-6cde-4ed8-bb31-c11a7ecc1d59.jpg",""
"0368e3c3-0c8a-4759-89d8-336859cb1659.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0368e3c3-0c8a-4759-89d8-336859cb1659.jpg","Cornell logo"
"03c7821e-878e-4fa1-ade1-017dbed58982.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=03c7821e-878e-4fa1-ade1-017dbed58982.jpg","What's the best way to show D&I progress over time?"
"0473919a-76e4-4c05-9af4-f35b62e920ac.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0473919a-76e4-4c05-9af4-f35b62e920ac.jpg","building "
"047c5154-ceb3-4242-b4d4-3b29748ff9a2.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=047c5154-ceb3-4242-b4d4-3b29748ff9a2.jpg",""
"0502b70b-bf76-47e3-8405-663845da0bc0.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0502b70b-bf76-47e3-8405-663845da0bc0.jpg","HR Analytics "
"059facbe-220f-4630-b9ef-a3725e0e630b.png","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=059facbe-220f-4630-b9ef-a3725e0e630b.png","Accenture CAHRS Partner Company's D&I Expert Shares how the Firm is Reducing Bias"
"0678f6d6-14e4-4b2a-b707-87498bb02824.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0678f6d6-14e4-4b2a-b707-87498bb02824.jpg","pay"
"070547f5-7e1a-4a4c-ade4-d8c1aef10da5.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=070547f5-7e1a-4a4c-ade4-d8c1aef10da5.jpg","Three Critical Skills Needed to be Successful in HR"
"0a127bf4-1c62-40e5-aaf5-6925e2590a07.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0a127bf4-1c62-40e5-aaf5-6925e2590a07.jpg","people sitting around a table talking "
"0a173b03-1b97-4e60-9055-f39e15b1c25a.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0a173b03-1b97-4e60-9055-f39e15b1c25a.jpg","HR Analytics "
"0d77e0c7-3033-4ea2-bf52-3ae70fe45211.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0d77e0c7-3033-4ea2-bf52-3ae70fe45211.jpg","Future of work "
"0ee147d4-89c6-416d-b2b9-16d5e5435721.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0ee147d4-89c6-416d-b2b9-16d5e5435721.jpg","Talent Management During the Post-Pandemic Transition"
"0fc6a274-bc0a-44c4-bf25-a52680a18791.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0fc6a274-bc0a-44c4-bf25-a52680a18791.jpg","pyramid with people on it representing talent"
