name,url,industry,img_url,img_alt
Accenture,http://www.accenture.com/us-en/pages/index.aspx,"Professional Services",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0fd362bf-b3a8-43d3-80ed-404204992151.jpg,"Accenture company logo"
"American Express",http://www.americanexpress.com,"Financial Technology",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=834d1928-20ad-462d-9af5-faf30509c80f.jpg,"American Express company logo"
"Bloomberg L.P.",Http://www.bloomberg.com,"Financial Services",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=215fff94-ecee-4c0b-ac98-bc382d60bcd4.jpg,"Bloomberg L.P. company logo"
Boeing,http://www.boeing.com,Aerospace/Defense,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=ffa9cb4b-8a82-4ea2-9b34-a7e19ea43bfd.jpg,"Boeing company logo"
"Bristol-Myers Squibb",http://www.bms.com,"Drug Manufacturer - Major",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=459b32e5-7be8-4971-9b08-aa4b1307fe91.png,"Bristol-Myers Squibb company logo"
"Cigna Group (The)",http://www.cigna.com,"Health Care Plans",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=c8ee0735-0a99-4157-8914-b6cb14cf6113.png,"Cigna company logo"
"CNH Industrial",https://www.cnhindustrial.com,Machinery,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=320d5ecd-0902-420e-a9e9-b9cbf0adac31.webp,"CNH Industrial Logo"
Colgate-Palmolive,http://www.colgate.com,"Personal Products",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=92884fbf-ef3a-4be6-ab50-af4ac3904fe1.jpg,"Colgate-Palmolive company logo"
"Cornell University",http://www.cornell.edu,Education,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=9db034b4-49cc-49f3-800a-736e1eb9fa7f.png,"Cornell University company logo"
Corning,http://www.corning.com,"Diversified Electronics",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=9b2e0f96-6430-4faf-b408-6bc38be1f562.jfif,"Corning company logo"
"Daiichi Sankyo",https://www.daiichisankyo.com/,Pharmaceutical,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=e957b19a-4d7b-4f3a-9d9f-8b7e399c841f.jpg,"Daiichi Sankyo Logo"
Dell,http://www.dell.com,Technology,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3a6e77dd-4007-4450-9117-9da1e0af9e34.png,"Dell company logo"
"E & J Gallo Winery",http://gallo.com/,"Wine Industry",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=c0bc55ac-3742-4a9d-8fcf-74170d6d76b5.png,"E & J Gallo Winery company logo"
"Estee Lauder",http://www.elcompanies.com,"Personal Products",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=a3d7cd08-516b-4424-9620-142afee7416d.jpg,"Estee Lauder company logo"
"General Electric",http://www.ge.com,"Diversified Machinery",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=45eb778c-ce2e-406d-955d-684c3ec96f2a.png,"General Electric company logo"
Hershey,http://www.thehersheycompany.com,Confectioners,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=71b5e303-ac72-46a6-bb5c-42218e054643.png,"Hershey company logo"
"Hormel Foods",www.hormelfoods.com,"Packaged Foods",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=469643c8-8077-4f53-962d-f3b3af4541e5.jpg, 
IBM,http://www.ibm.com,"Information Technology Services",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=87d8fecf-52d0-4328-bef2-e6423170e8a2.png,"IBM company logo"
Intel,http://www.intel.com,Technology,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=736d02d9-53fc-4e05-b53a-19a54152626c.png,"Intel Logo"
"Johnson & Johnson",http://www.jnj.com,"Drug Manufacturers - Major",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=cddbb093-6e25-44f3-af17-caebac0ad862.png,"Johnson & Johnson company logo"
"Johnson Controls",www.jci.com,"HVAC Equipment and Controls",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=846c1c7c-ecb1-438f-b383-f3efad340729.jpg,"Johnson Controls company logo"
