resource_id,title,topic_ids,resource_format,resource_type,year,date_added,date_updated,pdf_upload,pdf_html_url,summary,thumbnail,thumbnail_alt_tag,thumbnail_url,issue_year,keywords
1446,Remote Work in the Time of COVID-19: Key Learnings and Findings ResearchBrief ,1,pdf,Research Links,2021,02/16/2021,02/16/2021,400f90fb-9da6-425c-8883-69e2dbf0555b.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=400f90fb-9da6-425c-8883-69e2dbf0555b.pdf,,,Future of Remote Work in the Time of COVID-19,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,Future of Work 
854,Virtual Work the Future of Work ,1,video,Videos,2018,01/17/2019,10/03/2019,,https://www.youtube.com/watch?v=PgTEagNEcts&list=PLdvxLwoHBNn9s9l-VFBRBvU5j_kP4kw1k&index=16,Virtual Work the Future of Work video clip,,Virtual Work the Future of Work video clip,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"future of work, competencies, Determinants of Organizational Performance, executive development, HR function, agility, organization structure, workplace architecture, virtual work, remote work, distance learning"
1332,Skills Needed During HR Transformation,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/F3ZiiKMu0DI,,bcae7874-e8f7-4e9f-93d9-5ea4fd3556ca.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=bcae7874-e8f7-4e9f-93d9-5ea4fd3556ca.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1333,Other HR Priorities CAHRS Partners Are Seeing in Their Organizations,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/xUViAk8--SE,,f66fa628-cdff-449c-b24c-71d67619426f.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=f66fa628-cdff-449c-b24c-71d67619426f.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1334,Key Priorities for the Future,1,video,Videos,2020,07/24/2020,07/24/2020,,https://youtu.be/e2yYuZamI54,,,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1335,How Can HR Professionals Apply the CAHRS Framework?,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/e--jnUI9SB4,,0d77e0c7-3033-4ea2-bf52-3ae70fe45211.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=0d77e0c7-3033-4ea2-bf52-3ae70fe45211.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1336,The Research Process in the Future of Work Project,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/L1b-b7KQd60,,27d02990-ff9a-40b6-ac9c-344ac4814e73.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=27d02990-ff9a-40b6-ac9c-344ac4814e73.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1337,Flexible Work ,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/hw1yRwLnZn8,,ae677d1c-3659-445c-8ad6-ec726bbd96a8.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=ae677d1c-3659-445c-8ad6-ec726bbd96a8.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1338,Redesigning Tomorrow's Organization,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/qA67cFnQqgU,,b16244cc-364f-4602-bcc3-cf5402f6fa27.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=b16244cc-364f-4602-bcc3-cf5402f6fa27.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1339,Reskilling and the Future of Work ,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/kEPT_8MI_vs,,303d1f5a-97f2-4e1d-99cc-9651d8ec0fe9.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=303d1f5a-97f2-4e1d-99cc-9651d8ec0fe9.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1340,Trends in Automation and Rethinking Capabilities,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/Hy9sekUEtpY,,217c4f2d-e292-4f41-acac-7405b49b5b29.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=217c4f2d-e292-4f41-acac-7405b49b5b29.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1341,Implications of Technology on Work and Workers,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/q_naYFKU-xU,,7797b105-73c4-4375-aa77-bf86c66fcc78.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=7797b105-73c4-4375-aa77-bf86c66fcc78.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1342,The Changing Social Contract,1,video,Videos,2020,07/24/2020,07/24/2020,,https://youtu.be/f6WBs74MT5Y,,,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1343,Technology and the Future of Work ,1,video,Videos,2020,07/24/2020,07/24/2020,,https://youtu.be/mw2eNEANnBI,,,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1344,A Look at Economic Changes in the United States,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/uXENBv0kOzY,,b468ce19-5917-4c3b-87fb-c1121efb8246.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=b468ce19-5917-4c3b-87fb-c1121efb8246.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1345,Globalization and the Future of Work ,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/UXJRKqd7pXg,,ae53fcab-e344-4216-b597-ea27f94607fc.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=ae53fcab-e344-4216-b597-ea27f94607fc.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1346,Demographic Trends and the Future of Work ,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/pTT0tFxttmI,,f679c40d-eddf-4fb2-8b8e-e5c558ad354c.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=f679c40d-eddf-4fb2-8b8e-e5c558ad354c.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1347,What's Different About the CAHRS Future of Work Model?,1,video,Videos,2020,07/24/2020,07/24/2020,,https://youtu.be/CCouhuXFOss,,,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1348,Why the Future of Work?,1,video,Videos,2020,07/24/2020,07/24/2020,,https://youtu.be/99pn2bpJJFk,,,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
1349,Gig Workers and the Changing Social Contract ,1,video,Videos,2020,07/24/2020,03/22/2021,,https://youtu.be/8C1jUQWB1X0,,219bee72-1cbc-4861-a9ea-90b50a588e9d.jpg,Future of work ,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=219bee72-1cbc-4861-a9ea-90b50a588e9d.jpg,0,"Future of Work, HR &amp; Technology, Automation, eHRM, Employee Self-Service , HR Information Systems, Robotics "
799,HR Shared Services: Models and Trends,1,pdf,White Papers,2017,09/27/2018,03/05/2020,2792c1ad-afd6-40cb-9c92-9351c87dca80.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2792c1ad-afd6-40cb-9c92-9351c87dca80.pdf,HR Shared Services: Models and Trends white paper,,HR Shared Services: Models and Trends white paper,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Compensation/Reward Systems/Incentives/Benefits, Cross-Cultural Issues/International Human Resource Management , Customer Service, Strategic HR, Technology, Organizational Culture, Organizational Development, Organizational Structure, HR Information Systems, HR &amp; Technology, HR Metrics, Workforce Analytics, Cross-cultural HR, Globalization, International HR, Benefits, Compensation , Executive Compensation, Incentives, Job Evaluation, Reward Systems, Total Rewards"
1594,Preparing for the Return to the Office Virtual Working Group ,1,pdf,Working Group Summaries,2021,10/06/2021,10/06/2021,8a33f000-7d22-4d01-9767-7b9cb08f73c2.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=8a33f000-7d22-4d01-9767-7b9cb08f73c2.pdf,,,Preparing for the return to the office,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Employee Attitudes, Affect/Emotions/Mood, Engagement, Meaning at Work, Psychological Contracts, Satisfaction, Trust "
1596,Managing Hybrid Work Arrangements,1,pdf,Working Group Summaries,2021,10/06/2021,10/06/2021,44ba8f73-ab83-4671-875b-3c9c56811954.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=44ba8f73-ab83-4671-875b-3c9c56811954.pdf,,,managing hybrid work arrangements,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Employee Attitudes, Affect/Emotions/Mood , Employee Surveys, Engagement, Involvement, Trust, Performance Management, Motivation "
1597,Resetting the Culture ,1,pdf,Working Group Summaries,2021,10/06/2021,10/06/2021,2b3275d1-70ac-4ae0-a24f-5109ea60fe70.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2b3275d1-70ac-4ae0-a24f-5109ea60fe70.pdf,,,Resetting the Culture virtual working group notes,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=,0,"Employee Attitudes, Affect/Emotions/Mood , Commitment , Employee Surveys, Engagement, Involvement, Satisfaction, Trust "
1308,CAHRS Quarterly on Total Rewards -  Spring 2020 ,2,pdf,News,2020,06/30/2020,07/24/2020,9cac0b5f-5349-4c7c-8511-04c1b35303b6.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=9cac0b5f-5349-4c7c-8511-04c1b35303b6.pdf,,db986572-dfea-483d-ba97-e4134b8a1623.jpg,money,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=db986572-dfea-483d-ba97-e4134b8a1623.jpg,2020,
1324,CAHRS Quarterly on Total Rewards - Summer 2020,2,pdf,News,2020,07/14/2020,07/24/2020,3fb1e16d-aade-4a60-8cc4-dacbf61ab54d.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3fb1e16d-aade-4a60-8cc4-dacbf61ab54d.pdf,,d4a24861-49b9-4f33-9450-e6fcd69f1b1d.jpg,payday on calendar,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=d4a24861-49b9-4f33-9450-e6fcd69f1b1d.jpg,2020,
1505,CAHRS Quarterly on Total Rewards -  Spring 2021,2,pdf,News,2021,04/20/2021,04/20/2021,a5347be7-e3db-471b-84fd-1412ff9adec7.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=a5347be7-e3db-471b-84fd-1412ff9adec7.pdf,,9a44062a-14e9-484f-ac9d-a9847747b5a5.jpg,money,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=9a44062a-14e9-484f-ac9d-a9847747b5a5.jpg,2021,
1581,CAHRS Quarterly on Total Rewards - Summer 2021,2,pdf,News,2021,08/04/2021,08/04/2021,ea1e14b9-a8ef-4dad-92b2-29b1f291cabb.pdf,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=ea1e14b9-a8ef-4dad-92b2-29b1f291cabb.pdf,,efc3446c-31ef-488a-85b6-05044b4d9c52.jpg,money,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=efc3446c-31ef-488a-85b6-05044b4d9c52.jpg,2021,
