resource_id,title,pdf_upload,pdf_html_url
1,Onboarding Talent in a Post-Pandemic World,ba597d49-e2b4-45f5-867a-4dbe1c2e5e68.pdf,https://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=ba597d49-e2b4-45f5-867a-4dbe1c2e5e68.pdf
2,Navigating Cultural Fault Lines,07c48ad2-3df8-4d2e-8a18-c2280385d438.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=07c48ad2-3df8-4d2e-8a18-c2280385d438.pdf
3,Beyond Change Management: How to Turn Crisis into Opportunity,07cc4360-d0ba-4f96-ac0f-dd4a41a5232d.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=07cc4360-d0ba-4f96-ac0f-dd4a41a5232d.pdf
4,What Issues are Top of Mind for Hr Leaders Heading into 2021?,192c9e77-c133-41fc-93f6-9d5bd6edd481.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=192c9e77-c133-41fc-93f6-9d5bd6edd481.pdf
5,Trends in Talent Attraction & Retention,22ab6ff8-dc79-406e-9256-04682bda001d.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=22ab6ff8-dc79-406e-9256-04682bda001d.pdf
6,Uncovering Gaps in HR Delivery,256be5fc-ac14-4633-96b0-458b82b9a0ff.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=256be5fc-ac14-4633-96b0-458b82b9a0ff.pdf
7,Future of Work,280865ac-f447-4e26-a721-0585391f7a13.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=280865ac-f447-4e26-a721-0585391f7a13.pdf
8,How 2020 is Reshaping the Hr Operating Model,2830dbcb-4fb9-4d19-8a22-a433ef4da8e2.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=2830dbcb-4fb9-4d19-8a22-a433ef4da8e2.pdf
9,Workplace Redesign,2aa38d2f-6741-473f-8f28-d4537e7818ca.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=2aa38d2f-6741-473f-8f28-d4537e7818ca.pdf
10,2ab59c7f-5e5e-449a-b17f-de63af94fb59.pdf,CAHRS Virtual Fall Partner Meeting 2020,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=2ab59c7f-5e5e-449a-b17f-de63af94fb59.pdf
11,Cahrs Research Showcase,2b4267e4-3599-4807-8c11-77e645a8241f.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=2b4267e4-3599-4807-8c11-77e645a8241f.pdf
12,Further Information for Students,391d30ba-a5ce-4b8b-9d30-2e4aa5e9bced.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=391d30ba-a5ce-4b8b-9d30-2e4aa5e9bced.pdf
